subject_id	source_value	translation_value
HP:0000823	Delayed puberty	Puberdade tardia
HP:0000988	Skin rash	Exantema
HP:0000962	Hyperkeratosis	Hiperceratose
HP:0000772	Abnormal rib morphology	Morfologia costal anômala
HP:0001773	Short foot	Pé curto
HP:0001284	Areflexia	Arreflexia
HP:0005930	Abnormality of epiphysis morphology	Anomalia da morfologia epifisária
HP:0000975	Hyperhidrosis	Hiperidrose
HP:0000737	Irritability	Irritabilidade
HP:0000774	Narrow chest	Tórax estreito
HP:0008551	Microtia	Microtia
HP:0002465	Poor speech	Fala pobre
HP:0001274	Agenesis of corpus callosum	Agenesia do corpo caloso
HP:0012379	Abnormal enzyme/coenzyme activity	Atividade enzimática ou de coenzima anômala
HP:0001336	Myoclonus	Mioclonia
HP:0001763	Pes planus	Pé plano
HP:0008734	Decreased testicular size	Redução do volume testicular
HP:0001627	Abnormal heart morphology	Morfologia cardíaca anômala
HP:0000670	Carious teeth	Cáries dentárias
HP:0000963	Thin skin	Pele fina
HP:0002460	Distal muscle weakness	Fraqueza muscular distal
HP:0000707	Abnormality of the nervous system	Anormalidade do sistema nervoso
HP:0002151	Increased circulating lactate concentration	Concentração circulante de lactato aumentada
HP:0001531	Failure to thrive in infancy	Déficit de crescimento na primeira infância
HP:0001597	Abnormal nail morphology	Morfologia anormal da unha
HP:0002166	Impaired vibration sensation in the lower limbs	Sensibilidade vibratória prejudicada nos membros inferiores
HP:0001030	Fragile skin	Pele frágil
HP:0001231	Abnormal fingernail morphology	Morfologia anormal da unha da mão
HP:0001892	Abnormal bleeding	Sangramento anormal
HP:0000974	Hyperextensible skin	Pele hiperextensível
HP:0000953	Hyperpigmentation of the skin	Hiperpigmentação da pele
HP:0001635	Congestive heart failure	Insuficiência cardíaca congestiva
HP:0000924	Abnormality of the skeletal system	Anormalidade do sistema esquelético
HP:0001072	Thickened skin	Pele espessada
HP:0002653	Bone pain	Dor óssea
HP:0000733	Abnormal repetitive mannerisms	Maneirismos repetitivos anormais
HP:0001317	Abnormal cerebellum morphology	Morfologia anormal do cerebelo
HP:0008994	Proximal muscle weakness in lower limbs	Fraqueza muscular proximal nos membros inferiores
HP:0000762	Decreased nerve conduction velocity	Velocidade de condução nervosa reduzida
HP:0001875	Decreased total neutrophil count	Contagem total de neutrófilos reduzida
HP:0001010	Hypopigmentation of the skin	Hipopigmentação da pele
HP:0001760	Abnormal foot morphology	Morfologia anormal do pé
HP:0002071	Abnormality of extrapyramidal motor function	Anormalidade da função motora extrapiramidal
HP:0001581	Recurrent skin infections	Infecções cutâneas de repetição
HP:0005599	Hypopigmentation of hair	Hipopigmentação dos cabelos
HP:0000736	Short attention span	Curta duração da atenção
HP:0002500	Abnormal cerebral white matter morphology	Morfologia anormal da substância branca cerebral
HP:0005048	Synostosis of carpal bones	Sinostose dos ossos do carpo
HP:0002123	Generalized myoclonic seizure	Crise mioclônica generalizada
HP:0002718	Recurrent bacterial infections	Infecções bacterianas de repetição
HP:0000649	Abnormality of visual evoked potentials	Anormalidade dos potenciais evocados visuais
HP:0001939	Abnormality of metabolism/homeostasis	Anormalidade do metabolismo ou da homeostase
HP:0002197	Generalized-onset seizure	Crise de início generalizado
HP:0001954	Recurrent fever	Febre recorrente
HP:0001582	Redundant skin	Pele redundante
HP:0410263	Brain imaging abnormality	Anormalidade em exame de imagem do encéfalo
HP:0005916	Abnormal metacarpal morphology	Morfologia anormal do metacarpo
HP:0002757	Recurrent fractures	Fraturas de repetição
HP:0001831	Short toe	Dedo do pé curto
HP:0001399	Hepatic failure	Insuficiência hepática
HP:0001595	Abnormality of the hair	Anormalidade dos cabelos
HP:0005403	Decreased total T cell count	Contagem total de linfócitos T reduzida
HP:0001520	Large for gestational age	Grande para a idade gestacional
HP:0001974	Increased total leukocyte count	Contagem total de leucócitos aumentada
HP:0000824	Decreased response to growth hormone stimulation test	Resposta reduzida ao teste de estímulo do hormônio do crescimento
HP:0002644	Abnormality of pelvic girdle bone morphology	Anormalidade da morfologia óssea da cintura pélvica
HP:0000951	Abnormality of the skin	Anormalidade da pele
HP:0001386	Joint swelling	Edema articular
HP:0200042	Skin ulcer	Úlcera cutânea
HP:0000925	Abnormality of the vertebral column	Anormalidade da coluna vertebral
HP:0000929	Abnormal skull morphology	Morfologia anormal do crânio
HP:0000987	Atypical scarring of skin	Cicatrização atípica da pele
HP:0002490	Increased CSF lactate	Lactato aumentado no líquido cefalorraquidiano
HP:0000682	Abnormality of dental enamel	Anormalidade do esmalte dentário
HP:0002495	Impaired vibratory sensation	Sensibilidade vibratória prejudicada
HP:0000773	Short ribs	Costelas curtas
HP:0001000	Abnormality of skin pigmentation	Anormalidade da pigmentação da pele
HP:0001053	Hypopigmented skin patches	Manchas hipopigmentadas na pele
HP:0002505	Loss of ambulation	Perda da deambulação
HP:0001273	Abnormal corpus callosum morphology	Morfologia anormal do corpo caloso
HP:0001928	Abnormality of coagulation	Anormalidade da coagulação
HP:0002720	Decreased circulating IgA level	Nível circulante de IgA reduzido
HP:0100840	Aplasia/Hypoplasia of the eyebrow	Aplasia ou hipoplasia da sobrancelha
HP:0000818	Abnormality of the endocrine system	Anormalidade do sistema endócrino
HP:0001410	Decreased liver function	Função hepática reduzida
HP:0001988	Recurrent hypoglycemia	Hipoglicemia de repetição
HP:0200035	Skin plaque	Placa cutânea
HP:0025435	Increased circulating lactate dehydrogenase concentration	Concentração circulante de desidrogenase láctica aumentada
HP:0008959	Distal upper limb muscle weakness	Fraqueza muscular distal do membro superior
HP:0002659	Increased susceptibility to fractures	Suscetibilidade aumentada a fraturas
HP:0100679	Lack of skin elasticity	Falta de elasticidade da pele
HP:0010818	Generalized tonic seizure	Crise tônica generalizada
HP:0008388	Abnormal toenail morphology	Morfologia anormal da unha do pé
HP:0008997	Proximal muscle weakness in upper limbs	Fraqueza muscular proximal nos membros superiores
HP:0001392	Abnormality of the liver	Anormalidade do fígado
HP:0005261	Joint hemorrhage	Hemorragia articular
HP:0002121	Generalized non-motor (absence) seizure	Crise generalizada não motora (ausência)
HP:0001373	Joint dislocation	Luxação articular
HP:0000837	Increased circulating gonadotropin level	Nível circulante de gonadotrofina aumentado
HP:0008873	Disproportionate short-limb short stature	Baixa estatura desproporcional com encurtamento de membros
HP:0001167	Abnormality of finger	Anormalidade do dedo da mão
HP:0008981	Calf muscle hypertrophy	Hipertrofia da musculatura da panturrilha
HP:0200041	Skin erosion	Erosão cutânea
HP:0011902	Abnormal hemoglobin	Hemoglobina anormal
HP:0100659	Abnormality of the cerebral vasculature	Anormalidade da vasculatura cerebral
HP:0008954	Intrinsic hand muscle atrophy	Atrofia da musculatura intrínseca da mão
HP:0011001	Increased bone mineral density	Densidade mineral óssea aumentada
HP:0012332	Abnormal autonomic nervous system physiology	Fisiologia anormal do sistema nervoso autônomo
HP:0002314	Degeneration of the lateral corticospinal tracts	Degeneração dos tratos corticoespinhais laterais
HP:0008850	Severe postnatal growth retardation	Retardo grave do crescimento pós-natal
HP:0002086	Abnormality of the respiratory system	Anormalidade do sistema respiratório
HP:0011904	Persistence of hemoglobin F	Persistência da hemoglobina F
HP:0001123	Visual field defect	Defeito de campo visual
HP:0001671	Abnormal cardiac septum morphology	Morfologia anormal do septo cardíaco
HP:0002474	Expressive language delay	Atraso de linguagem expressiva
HP:0005819	Short middle phalanx of finger	Falange média do dedo da mão curta
HP:0001133	Constriction of peripheral visual field	Constrição do campo visual periférico
HP:0002522	Areflexia of lower limbs	Arreflexia dos membros inferiores
HP:0000870	Increased circulating prolactin concentration	Concentração circulante de prolactina aumentada
HP:0002516	Increased intracranial pressure	Pressão intracraniana aumentada
HP:0002761	Generalized joint hypermobility	Hipermobilidade articular generalizada
HP:0000889	Abnormality of the clavicle	Anormalidade da clavícula
HP:0001608	Abnormality of the voice	Anormalidade da voz
HP:0001155	Abnormality of the hand	Anormalidade da mão
HP:0000848	Increased circulating renin level	Nível circulante de renina aumentado
HP:0001654	Abnormal heart valve morphology	Morfologia anormal da valva cardíaca
HP:0010976	Decreased total B cell count	Contagem total de linfócitos B reduzida
HP:0031381	Decreased lymphocyte proliferation in response to mitogen	Proliferação linfocitária reduzida em resposta a mitógeno
HP:0008619	Bilateral sensorineural hearing impairment	Perda auditiva neurossensorial bilateral
HP:0002091	Restrictive ventilatory defect	Distúrbio ventilatório restritivo
HP:0002230	Generalized hirsutism	Hirsutismo generalizado
HP:0002242	Abnormal intestine morphology	Morfologia anormal do intestino
HP:0001103	Abnormal macular morphology	Morfologia anormal da mácula
HP:0002373	Febrile seizure (within the age range of 3 months to 6 years)	Crise febril (entre 3 meses e 6 anos de idade)
HP:0001172	Abnormal thumb morphology	Morfologia anormal do polegar
HP:0001891	Iron deficiency anemia	Anemia por deficiência de ferro
HP:0001631	Atrial septal defect	Comunicação interatrial
HP:0001558	Decreased fetal movement	Movimentação fetal reduzida
HP:0005109	Abnormality of the Achilles tendon	Anormalidade do tendão de Aquiles
HP:0002600	Hyporeflexia of lower limbs	Hiporreflexia dos membros inferiores
HP:0002715	Abnormality of the immune system	Anormalidade do sistema imunológico
HP:0001430	Abnormality of the calf musculature	Anormalidade da musculatura da panturrilha
HP:0100585	Telangiectasia of the skin	Telangiectasia da pele
HP:0011354	Generalized abnormality of skin	Anormalidade generalizada da pele
HP:0010994	Abnormal corpus striatum morphology	Morfologia anormal do corpo estriado
HP:0045045	Elevated plasma acylcarnitine levels	Níveis plasmáticos de acilcarnitina elevados
HP:0011923	Decreased activity of mitochondrial complex I	Atividade reduzida do complexo mitocondrial I
HP:0031507	Decreased circulating thyroxine level	Nível circulante de tiroxina reduzido
HP:0011342	Mild global developmental delay	Atraso global do desenvolvimento leve
HP:0002747	Respiratory insufficiency due to muscle weakness	Insuficiência respiratória por fraqueza muscular
HP:0001191	Abnormal carpal morphology	Morfologia anormal do carpo
HP:0030099	Reduced muscle fiber alpha dystroglycan	Alfa-distroglicana reduzida na fibra muscular
HP:0005406	Recurrent bacterial skin infections	Infecções bacterianas cutâneas de repetição
HP:0002216	Premature graying of hair	Embranquecimento precoce dos cabelos
HP:0005502	Increased red cell osmotic fragility	Fragilidade osmótica eritrocitária aumentada
HP:0005978	Type II diabetes mellitus	Diabetes melito tipo II
HP:0011024	Abnormality of the gastrointestinal tract	Anormalidade do trato gastrointestinal
HP:0100530	Abnormality of calcium-phosphate metabolism	Anormalidade do metabolismo do cálcio e do fósforo
HP:0010978	Abnormality of immune system physiology	Anormalidade da fisiologia do sistema imunológico
HP:0011849	Abnormal bone ossification	Ossificação óssea anormal
HP:0040071	Abnormal morphology of ulna	Morfologia anormal da ulna
HP:0025167	Fragmented elastic fibers in the dermis	Fibras elásticas fragmentadas na derme
HP:0000859	Increased circulating aldosterone concentration	Concentração circulante de aldosterona aumentada
HP:0002283	Global brain atrophy	Atrofia cerebral global
HP:0012211	Abnormal renal physiology	Fisiologia renal anormal
HP:0010972	Anemia of inadequate production	Anemia por produção inadequada
HP:0000864	Abnormality of the hypothalamus-pituitary axis	Anormalidade do eixo hipotálamo-hipófise
HP:0011031	Abnormality of iron homeostasis	Anormalidade da homeostase do ferro
HP:0002363	Abnormal brainstem morphology	Morfologia anormal do tronco encefálico
HP:0011493	Central opacification of the cornea	Opacificação central da córnea
HP:0030200	Fatiguable weakness of proximal limb muscles	Fraqueza fatigável da musculatura proximal dos membros
HP:0010831	Impaired proprioception	Propriocepção prejudicada
HP:0008527	Congenital sensorineural hearing impairment	Perda auditiva neurossensorial congênita
HP:0031095	Abnormal humerus morphology	Morfologia anormal do úmero
HP:0012301	Type II transferrin isoform profile	Perfil de isoformas da transferrina tipo II
HP:0025547	Decreased mean corpuscular hemoglobin concentration	Concentração de hemoglobina corpuscular média reduzida
HP:0002384	Focal impaired awareness seizure	Crise focal com comprometimento da percepção
HP:0100295	Muscle fiber atrophy	Atrofia de fibras musculares
HP:0012402	Increased urine alpha-ketoglutarate concentration	Concentração urinária de alfa-cetoglutarato aumentada
HP:0009020	Exercise-induced muscle fatigue	Fadiga muscular induzida por exercício
HP:0011021	Abnormality of circulating enzyme level	Anormalidade do nível circulante de enzimas
HP:0002134	Abnormal basal ganglia morphology	Morfologia anormal dos núcleos da base
HP:0002454	Eye of the tiger anomaly of globus pallidus	Anomalia em olho de tigre no globo pálido
HP:0001626	Abnormality of the cardiovascular system	Anormalidade do sistema cardiovascular
HP:0001338	Partial agenesis of the corpus callosum	Agenesia parcial do corpo caloso
HP:0001874	Abnormality of neutrophils	Anormalidade dos neutrófilos
HP:0001792	Small nail	Unha pequena
HP:0000940	Abnormal diaphysis morphology	Morfologia anormal da diáfise
HP:0045060	Aplasia/hypoplasia involving bones of the extremities	Aplasia ou hipoplasia envolvendo ossos das extremidades
HP:0011490	Abnormal Descemet membrane morphology	Morfologia anormal da membrana de Descemet
HP:0007737	Bone spicule pigmentation of the retina	Pigmentação em espículas ósseas na retina
HP:0010829	Impaired temperature sensition	Sensibilidade térmica prejudicada
HP:0040189	Scaling skin	Descamação da pele
HP:0011343	Moderate global developmental delay	Atraso global do desenvolvimento moderado
HP:0002269	Abnormality of neuronal migration	Anormalidade da migração neuronal
HP:0011073	Abnormality of dental color	Anormalidade da cor dos dentes
HP:0005789	Generalized osteosclerosis	Osteosclerose generalizada
HP:0032218	Decreased proportion of CD4-positive T cells	Proporção reduzida de linfócitos T CD4 positivos
HP:0005390	Recurrent opportunistic infections	Infecções oportunistas de repetição
HP:0011297	Abnormal digit morphology	Morfologia anormal do dedo
HP:0000765	Abnormal thorax morphology	Morfologia anormal do tórax
HP:0009005	Weakness of the intrinsic hand muscles	Fraqueza da musculatura intrínseca da mão
HP:0008915	Childhood-onset truncal obesity	Obesidade troncular de início na infância
HP:0000766	Abnormal sternum morphology	Morfologia anormal do esterno
HP:0001871	Abnormality of blood and blood-forming tissues	Anormalidade do sangue e dos tecidos hematopoéticos
HP:0001980	Megaloblastic bone marrow	Medula óssea megaloblástica
HP:0011203	EEG with abnormally slow frequencies	Eletroencefalograma com frequências anormalmente lentas
HP:0100502	Decreased circulating vitamin B12 concentration	Concentração circulante de vitamina B12 reduzida
HP:0011840	Abnormality of T cell physiology	Anormalidade da fisiologia dos linfócitos T
HP:0000309	Abnormal midface morphology	Morfologia anormal da região média da face
HP:0040084	Abnormal circulating renin	Renina circulante anormal
HP:0002143	Abnormality of the spinal cord	Anormalidade da medula espinhal
HP:0001098	Abnormal fundus morphology	Morfologia anormal do fundo de olho
HP:0012187	Increased erythrocyte protoporphyrin concentration	Concentração eritrocitária de protoporfirina aumentada
HP:0005162	Abnormal left ventricular function	Função ventricular esquerda anormal
HP:0001362	Skull defect	Defeito do crânio
HP:0008935	Generalized neonatal hypotonia	Hipotonia neonatal generalizada
HP:0002270	Abnormality of the autonomic nervous system	Anormalidade do sistema nervoso autônomo
HP:0001248	Short tubular bones of the hand	Ossos tubulares da mão curtos
HP:0001220	Interphalangeal joint contracture of finger	Contratura da articulação interfalângica do dedo
HP:0011124	Abnormality of epidermal morphology	Anormalidade da morfologia da epiderme
HP:0031546	Cardiac conduction abnormality	Anormalidade da condução cardíaca
HP:0002000	Short columella	Columela curta
HP:0001080	Biliary tract abnormality	Anormalidade do trato biliar
HP:0031664	Systolic heart murmur	Sopro cardíaco sistólico
HP:0001919	Acute kidney injury	Lesão renal aguda
HP:0002366	Abnormal lower motor neuron morphology	Morfologia anormal do neurônio motor inferior
HP:0005640	Abnormal vertebral segmentation and fusion	Segmentação e fusão vertebral anormais
HP:0011969	Elevated circulating luteinizing hormone level	Nível circulante de hormônio luteinizante elevado
HP:0012110	Hypoplasia of the pons	Hipoplasia da ponte
HP:0001291	Abnormal cranial nerve morphology	Morfologia anormal de nervo craniano
HP:0001367	Abnormal joint morphology	Morfologia anormal da articulação
HP:0001384	Abnormality of the hip joint	Anormalidade da articulação do quadril
HP:0001211	Abnormal fingertip morphology	Morfologia anormal da ponta do dedo
HP:0040163	Abnormal pelvis bone morphology	Morfologia anormal do osso da pelve
HP:0002548	Parkinsonism with favorable response to dopaminergic medication	Parkinsonismo com boa resposta a medicação dopaminérgica
HP:0030046	Hypoglycosylation of alpha-dystroglycan	Hipoglicosilação da alfa-distroglicana
HP:0030197	Fatigable weakness of skeletal muscles	Fraqueza fatigável da musculatura esquelética
HP:0012086	Abnormal urinary color	Cor anormal da urina
