source_value	translation_value
Congenital myasthenic syndromes due to defective synthesis or recycling of acetylcholine	Síndromes miastênicas congênitas por defeito de síntese ou reciclagem de acetilcolina
Congenital myasthenic syndromes due to defects in endplate development and maintenance	Síndromes miastênicas congênitas por defeito no desenvolvimento e na manutenção da placa motora
Congenital myasthenic syndromes with kinetic defect due to reduced ion channel conductance	Síndromes miastênicas congênitas com defeito cinético por condutância reduzida de canal iônico
Congenital myasthenic syndromes with mitochondrial defect	Síndromes miastênicas congênitas com defeito mitocondrial
Congenital myasthenic syndromes with primary acetylcholine receptor deficiency	Síndromes miastênicas congênitas com deficiência primária do receptor de acetilcolina
Congenital scalp aplasia cutis-enamel hypoplasia-developmental delay-intellectual disability syndrome	Síndrome de aplasia cutis congênita do couro cabeludo, hipoplasia do esmalte, atraso do desenvolvimento e deficiência intelectual
Congenital short bowel syndrome	Síndrome do intestino curto congênita
Congenital stationary night blindness, Riggs type	Cegueira noturna estacionária congênita, tipo Riggs
Congenital thrombocytopenia-recurrent infections syndrome due to WIP deficiency	Síndrome de trombocitopenia congênita e infecções de repetição por deficiência de WIP
Craniotubular dysplasia, Ikegawa type	Displasia craniotubular, tipo Ikegawa
DNAJB6-related distal myopathy	Miopatia distal relacionada a DNAJB6
Developmental delay-blepharophimosis-telecanthus-facial dysmorphism-intellectual disability syndrome	Síndrome de atraso do desenvolvimento, blefarofimose, telecanto, dismorfismo facial e deficiência intelectual
Developmental delay-cervical spine anomalies-facial dysmorphism-intellectual disability syndrome	Síndrome de atraso do desenvolvimento, anomalias da coluna cervical, dismorfismo facial e deficiência intelectual
Developmental delay-facial dysmorphism-Blaschko lines hypopigmentation-obesity-intellectual disability syndrome	Síndrome de atraso do desenvolvimento, dismorfismo facial, hipopigmentação em linhas de Blaschko, obesidade e deficiência intelectual
Developmental delay-macrocephaly-corpus callosum dysgenesis-intellectual disability syndrome due to NFIB mutation	Síndrome de atraso do desenvolvimento, macrocefalia, disgenesia do corpo caloso e deficiência intelectual por mutação em NFIB
Developmental delay-microcephaly-short stature-ocular disorders-intellectual disability syndrome	Síndrome de atraso do desenvolvimento, microcefalia, baixa estatura, alterações oculares e deficiência intelectual
Developmental delay-spastic diplegia-choreoathetosis-intellectual disability syndrome	Síndrome de atraso do desenvolvimento, diplegia espástica, coreoatetose e deficiência intelectual
Developmental delay-vision anomalies-hand stereotypies-intellectual disability syndrome	Síndrome de atraso do desenvolvimento, anomalias da visão, estereotipias de mãos e deficiência intelectual
Developmental delay-white matter abnormalities-strabismus-recurrent respiratory tract infections syndrome	Síndrome de atraso do desenvolvimento, anormalidades da substância branca, estrabismo e infecções de repetição do trato respiratório
Distal arthrogryposis-progressive scoliosis-thumb deformity-impaired proprioception syndrome	Síndrome de artrogripose distal, escoliose progressiva, deformidade do polegar e propriocepção prejudicada
Early-onset autosomal recessive TTN-related distal myopathy	Miopatia distal relacionada a TTN, autossômica recessiva, de início precoce
Early-onset combined immunodeficiency with low Ig due to dominant negative IKAROS mutation	Imunodeficiência combinada de início precoce com imunoglobulinas baixas por mutação dominante negativa em IKAROS
Early-onset inflammatory bowel disease-ulcerative skin lesions-immunodeficiency syndrome	Síndrome de doença inflamatória intestinal de início precoce, lesões cutâneas ulcerativas e imunodeficiência
Early-onset-leucoencephalopaty-spasticity-stroke-neurodevelopmental disorder	Transtorno do neurodesenvolvimento com leucoencefalopatia, espasticidade e acidente vascular cerebral, de início precoce
Ectodermal dysplasia with agenesis of maxillary lateral incisors and mandibular anterior teeth	Displasia ectodérmica com agenesia dos incisivos laterais superiores e dos dentes anteriores inferiores
Ectodermal dysplasia with oligodontia-hand and foot malformation-hypoplastic nipples	Displasia ectodérmica com oligodontia, malformação de mãos e pés e mamilos hipoplásicos
Ectodermal dysplasia-natal teeth-skin abscesses-plantar hyperkeratosis-hearing impairment	Displasia ectodérmica com dentes natais, abscessos cutâneos, hiperceratose plantar e perda auditiva
Fast-channel congenital myasthenic syndromes	Síndromes miastênicas congênitas de canal rápido
Genetic predisposition to Whipple disease due to IRF4 haploinsufficiency	Predisposição genética à doença de Whipple por haploinsuficiência de IRF4
Global developmental delay-acquired macrocephaly-ataxia-febrile seizures syndrome	Síndrome de atraso global do desenvolvimento, macrocefalia adquirida, ataxia e crises febris
Global developmental delay-bilateral cataracts-cerebellar atrophy-movement disorder syndrome	Síndrome de atraso global do desenvolvimento, catarata bilateral, atrofia cerebelar e transtorno do movimento
Global developmental delay-dental enamel defects-ataxia syndrome	Síndrome de atraso global do desenvolvimento, defeitos do esmalte dentário e ataxia
Global developmental delay-early-onset refractory epilepsy-spastic quadriplegia-microcephaly-cerebral atrophy syndrome	Síndrome de atraso global do desenvolvimento, epilepsia refratária de início precoce, tetraplegia espástica, microcefalia e atrofia cerebral
Global developmental delay-facial dysmorphism-atrial septal defect syndrome	Síndrome de atraso global do desenvolvimento, dismorfismo facial e comunicação interatrial
Global developmental delay-facial dysmorphism-brachydactyly syndrome	Síndrome de atraso global do desenvolvimento, dismorfismo facial e braquidactilia
Global developmental delay-facial dysmorphism-hands and feet anomalies syndrome	Síndrome de atraso global do desenvolvimento, dismorfismo facial e anomalias de mãos e pés
Global developmental delay-high pain tolerance-intellectual disability syndrome	Síndrome de atraso global do desenvolvimento, tolerância alta à dor e deficiência intelectual
Global developmental delay-intellectual disability-facial dysmorphism-pseudo-Pelger-Huët anomaly syndrome	Síndrome de atraso global do desenvolvimento, deficiência intelectual, dismorfismo facial e pseudoanomalia de Pelger-Huët
Global developmental delay-microcephaly-ataxia-perpipheral dimyelinating neuropathy-intellectual disability syndrome	Síndrome de atraso global do desenvolvimento, microcefalia, ataxia, neuropatia desmielinizante periférica e deficiência intelectual
Global developmental delay-nystagmus-short stature-corpus callosum hypoplasia-white matter abnormalities syndrome	Síndrome de atraso global do desenvolvimento, nistagmo, baixa estatura, hipoplasia do corpo caloso e anormalidades da substância branca
Global developmental delay-recurrent infections-facial dysmorphism syndrome	Síndrome de atraso global do desenvolvimento, infecções de repetição e dismorfismo facial
Global developmental delay-severe feeding difficulties-short stature-multiple congenital anomalies syndrome	Síndrome de atraso global do desenvolvimento, dificuldades alimentares graves, baixa estatura e anomalias congênitas múltiplas
Global developmental delay-speech apraxia-facial dysmorphism-limb and palpebral anomalies syndrome	Síndrome de atraso global do desenvolvimento, apraxia de fala, dismorfismo facial e anomalias de membros e pálpebras
Global developmental delay-urogenital anomalies-cerebellar atrophy-cleft palate syndrome	Síndrome de atraso global do desenvolvimento, anomalias urogenitais, atrofia cerebelar e fenda palatina
Heterozygous beta-thalassemia intermedia with supernumerary alpha-globin gene	Beta-talassemia intermediária heterozigótica com gene supranumerário de alfa-globina
Homozygous hemoglobin O Arab disease	Doença da hemoglobina O Arab homozigótica
Houge-Janssens syndrome type 3	Síndrome de Houge-Janssens tipo 3
Houge-Janssens syndrome type 4	Síndrome de Houge-Janssens tipo 4
Hyper-IgM syndrome due to INO80 deficiency	Síndrome de hiper-IgM por deficiência de INO80
Hypocholesterolemia due to PCSK9 deficiency	Hipocolesterolemia por deficiência de PCSK9
Hypotonia-speech impairment-severe cognitive delay syndrome due to NALCN deficiency	Síndrome de hipotonia, comprometimento da fala e atraso cognitivo grave por deficiência de NALCN
Hypotonia-speech impairment-severe cognitive delay syndrome due to UNC80 deficiency	Síndrome de hipotonia, comprometimento da fala e atraso cognitivo grave por deficiência de UNC80
ICHAD syndrome	Síndrome ICHAD
ITPR3-related combined immunodeficiency-ectodermal dysplasia syndrome	Síndrome de imunodeficiência combinada e displasia ectodérmica relacionada a ITPR3
Immune dysregulation with immunodeficiency due to AIOLOS haploinsufficiency	Desregulação imune com imunodeficiência por haploinsuficiência de AIOLOS
Immunodeficiency-congenital thrombocytopenia-hypereosinophilia-colitis-vasculitis syndrome	Síndrome de imunodeficiência, trombocitopenia congênita, hipereosinofilia, colite e vasculite
Immunodeficiency-systemic inflammation-lymphoma predisposition syndrome	Síndrome de imunodeficiência, inflamação sistêmica e predisposição a linfoma
Incomplete congenital stationary night blindness	Cegueira noturna estacionária congênita incompleta
Infantile CLN1 disease	Doença CLN1 infantil
Infantile CLN2 disease	Doença CLN2 infantil
Infantile epileptic spasms syndrome	Síndrome dos espasmos epilépticos infantis
Infantile-onset TK2-related mitochondrial DNA maintenance defect, myopathic form	Defeito de manutenção do DNA mitocondrial relacionado a TK2, forma miopática, de início na infância
Infantile-onset inflammatory bowel disease-hearing loss-recurrent infections syndrome	Síndrome de doença inflamatória intestinal de início na infância, perda auditiva e infecções de repetição
Inflammatory bowel disease-autoimmunity-sinopulmonary infections- lymphadenopathy syndrome	Síndrome de doença inflamatória intestinal, autoimunidade, infecções sinopulmonares e linfadenopatia
Intellectual disability-lymphoid hypertrophy-macrocephaly syndrome	Síndrome de deficiência intelectual, hipertrofia linfoide e macrocefalia
Intellectual disability-myopathy-white matter abnormality syndrome	Síndrome de deficiência intelectual, miopatia e anormalidade da substância branca
Intellectual disability-nasal speech-craniofacial dysmorphism syndrome due to CNOT2 mutation	Síndrome de deficiência intelectual, fala nasalada e dismorfismo craniofacial por mutação em CNOT2
Intellectual disability-peripheral neuropathy-corpus callosum abnormalities syndrome due to nudix hydrolase 2 deficiency	Síndrome de deficiência intelectual, neuropatia periférica e anormalidades do corpo caloso por deficiência da nudix hidrolase 2
Intellectual disability-small hands and feet-drug-resistant epilepsy syndrome	Síndrome de deficiência intelectual, mãos e pés pequenos e epilepsia farmacorresistente
Juvenile CLN1 disease	Doença CLN1 juvenil
Juvenile CLN10 disease	Doença CLN10 juvenil
Juvenile CLN2 disease	Doença CLN2 juvenil
Juvenile CLN3 disease	Doença CLN3 juvenil
Juvenile CLN5 disease	Doença CLN5 juvenil
Juvenile CLN6 disease	Doença CLN6 juvenil
KCNE1-related isolated congenital long QT syndrome	Síndrome do QT longo congênita isolada relacionada a KCNE1
KCNE2-related isolated congenital Long QT syndrome	Síndrome do QT longo congênita isolada relacionada a KCNE2
KCNH2-related isolated congenital Long QT syndrome	Síndrome do QT longo congênita isolada relacionada a KCNH2
KCNQ1-related isolated congenital Long QT syndrome	Síndrome do QT longo congênita isolada relacionada a KCNQ1
Late infantile CLN1 disease	Doença CLN1 infantil tardia
Late infantile CLN10 disease	Doença CLN10 infantil tardia
Late infantile CLN2 disease	Doença CLN2 infantil tardia
Late infantile CLN5 disease	Doença CLN5 infantil tardia
Late infantile CLN6 disease	Doença CLN6 infantil tardia
Late infantile CLN8 disease	Doença CLN8 infantil tardia
Late-onset TK2-related mitochondrial DNA maintenance defect, myopathic form	Defeito de manutenção do DNA mitocondrial relacionado a TK2, forma miopática, de início tardio
Late-onset citrullinemia type I	Citrulinemia tipo I de início tardio
Late-onset combined immunodeficiency due to ICOS deficiency	Imunodeficiência combinada de início tardio por deficiência de ICOS
Late-onset combined immunodeficiency due to ICOSL deficiency	Imunodeficiência combinada de início tardio por deficiência de ICOSL
Low oxygen affinity alpha chain hemoglobin disease	Doença da hemoglobina de cadeia alfa com baixa afinidade por oxigênio
Low oxygen affinity beta chain hemoglobin disease	Doença da hemoglobina de cadeia beta com baixa afinidade por oxigênio
Megalencephaly-postaxial polydactyly-ventriculomegaly-neuroblastoma syndrome	Síndrome de megalencefalia, polidactilia pós-axial, ventriculomegalia e neuroblastoma
Microcephalic primordial dwarfism syndrome with combined immunodeficiency due to PRIM1 deficiency	Síndrome de nanismo primordial microcefálico com imunodeficiência combinada por deficiência de PRIM1
Motor incoordination-myopathy-respiratory insufficiency-progressive cerebellar atrophy syndrome	Síndrome de incoordenação motora, miopatia, insuficiência respiratória e atrofia cerebelar progressiva
Multifocal ectopic Purkinje-related premature contraction	Contração prematura relacionada a foco ectópico multifocal de Purkinje
NEMO deleted exon 5 autoinflammatory syndrome	Síndrome autoinflamatória por deleção do éxon 5 de NEMO
NIT1-related cerebral small vessel disease	Doença de pequenos vasos cerebrais relacionada a NIT1
NKAP-related intellectual disability-facial dysmorphism-marfanoid habitus-scoliosis syndrome	Síndrome de deficiência intelectual, dismorfismo facial, hábito marfanoide e escoliose relacionada a NKAP
NKFB1-related immune dysregulation	Desregulação imune relacionada a NFKB1
Ophthalmological abnormalities-facial dysmorphism-intellectual disability syndrome	Síndrome de anormalidades oftalmológicas, dismorfismo facial e deficiência intelectual
Otofaciocervical syndrome with thymic hypoplasia	Síndrome otofaciocervical com hipoplasia tímica
Otofaciocervical syndrome without thymic hypoplasia	Síndrome otofaciocervical sem hipoplasia tímica
PERCC1-related congenital intractable malabsorptive diarrhea	Diarreia disabsortiva congênita intratável relacionada a PERCC1
PLIN4-related myopathy	Miopatia relacionada a PLIN4
PPARG-associated congenital generalized lipodystrophy	Lipodistrofia generalizada congênita associada a PPARG
Pallister-Hall syndrome	Síndrome de Pallister-Hall
Phosphoribosylformylglycinamidine synthase deficiency	Deficiência de fosforribosilformilglicinamidina sintase
Polydactyly-Macrocephaly Syndrome	Síndrome de polidactilia e macrocefalia
Pontocerebellar hypoplasia type 16	Hipoplasia pontocerebelar tipo 16
Pontocerebellar hypoplasia type 17	Hipoplasia pontocerebelar tipo 17
Progressive muscle weakness-respiratory insufficiency-learning difficulty syndrome	Síndrome de fraqueza muscular progressiva, insuficiência respiratória e dificuldade de aprendizagem
Protracted juvenile CLN3 disease	Doença CLN3 juvenil prolongada
Pseudo-TORCH syndrome type 3	Síndrome pseudo-TORCH tipo 3
RYR2-related catecholaminergic polymorphic ventricular tachycardia	Taquicardia ventricular polimórfica catecolaminérgica relacionada a RYR2
Rare Y-linked non-syndromic sensorineural deafness type DFNY	Surdez neurossensorial não sindrômica rara ligada ao Y, tipo DFNY
Red cell aplasia-microcephaly-seizure-developmental delay syndrome	Síndrome de aplasia de série vermelha, microcefalia, crises epilépticas e atraso do desenvolvimento
Rothmund-Thomson syndrome type 3	Síndrome de Rothmund-Thomson tipo 3
Rothmund-Thomson syndrome type 4	Síndrome de Rothmund-Thomson tipo 4
SCGN-related severe early-onset hereditary ulcerative colitis	Retocolite ulcerativa hereditária grave de início precoce relacionada a SCGN
SCN5A-related isolated congenital Long QT syndrome	Síndrome do QT longo congênita isolada relacionada a SCN5A
SLC40A1-related hemochromatosis	Hemocromatose relacionada a SLC40A1
SMPX-related distal myopathy	Miopatia distal relacionada a SMPX
Sandestig-Stefanova syndrome	Síndrome de Sandestig-Stefanova
Sensorineural hearing loss-brainstem malformation-motor delay-balance impairment syndrome	Síndrome de perda auditiva neurossensorial, malformação do tronco encefálico, atraso motor e comprometimento do equilíbrio
Severe mendelian susceptibility to mycobacterial diseases due to complete IFNG deficiency	Suscetibilidade mendeliana grave a doenças micobacterianas por deficiência completa de IFNG
Severe mendelian susceptibility to mycobacterial diseases due to complete IRF1 deficiency	Suscetibilidade mendeliana grave a doenças micobacterianas por deficiência completa de IRF1
Severe neurodevelopmental disorder-facial dysmorphism-cerebral-renal-cardiac anomalies syndrome	Síndrome de transtorno grave do neurodesenvolvimento, dismorfismo facial e anomalias cerebrais, renais e cardíacas
Sickle cell S-Lepore disease	Doença falciforme S-Lepore
Sickle cell S-O Arab disease	Doença falciforme S-O Arab
Slow-channel congenital myasthenic syndromes	Síndromes miastênicas congênitas de canal lento
Squalene synthase deficiency	Deficiência de esqualeno sintase
T-B+NK+ severe combined immunodeficiency due to LCP2 deficiency	Imunodeficiência combinada grave T-B+NK+ por deficiência de LCP2
TARDBP-related predominantly upper-limb distal myopathy	Miopatia distal predominantemente de membros superiores relacionada a TARDBP
TECRL-related catecholaminergic polymorphic ventricular tachycardia	Taquicardia ventricular polimórfica catecolaminérgica relacionada a TECRL
TRDN-related catecholaminergic polymorphic ventricular tachycardia	Taquicardia ventricular polimórfica catecolaminérgica relacionada a TRDN
TRDN-related isolated congenital Long QT syndrome	Síndrome do QT longo congênita isolada relacionada a TRDN
TSHZ3-related congenital anomalies of kidney-urinary tract-intellectual disability syndrome	Síndrome de anomalias congênitas do rim e do trato urinário com deficiência intelectual relacionada a TSHZ3
Unstable alpha globin chain variant disease	Doença por variante instável da cadeia alfa de globina
Unstable gamma globin chain variant disease	Doença por variante instável da cadeia gama de globina
X-linked intellectual disability, Basilicata-Akhtar type	Deficiência intelectual ligada ao X, tipo Basilicata-Akhtar
YARS1-related multisystemic disease	Doença multissistêmica relacionada a YARS1
ZMYND11-related developmental delay-speech delay-seizures-behavioral abnormalities-craniofacial dysmorphism syndrome due to a point mutation	Síndrome de atraso do desenvolvimento, atraso de fala, crises epilépticas, alterações comportamentais e dismorfismo craniofacial relacionada a ZMYND11 por mutação pontual
